,OCORRENCIA_DATA_SEM_HORARIO,OCORRENCIAS_ATENDIDAS
0,2009-01-01,30
1,2009-01-02,81
2,2009-01-03,96
3,2009-01-04,93
4,2009-01-05,59
5,2009-01-06,30
6,2009-01-07,70
7,2009-01-08,61
8,2009-01-09,76
9,2009-01-10,104
10,2009-01-11,77
11,2009-01-12,80
12,2009-01-13,60
13,2009-01-14,64
14,2009-01-15,62
15,2009-01-16,73
16,2009-01-17,109
17,2009-01-18,99
18,2009-01-19,63
19,2009-01-20,56
20,2009-01-21,69
21,2009-01-22,72
22,2009-01-23,66
23,2009-01-24,89
24,2009-01-25,96
25,2009-01-26,52
26,2009-01-27,45
27,2009-01-28,58
28,2009-01-29,63
29,2009-01-30,59
30,2009-01-31,114
31,2009-02-01,91
32,2009-02-02,44
33,2009-02-03,44
34,2009-02-04,45
35,2009-02-05,78
36,2009-02-06,74
37,2009-02-07,83
38,2009-02-08,120
39,2009-02-09,51
40,2009-02-10,61
41,2009-02-11,67
42,2009-02-12,71
43,2009-02-13,88
44,2009-02-14,103
45,2009-02-15,101
46,2009-02-16,53
47,2009-02-17,76
48,2009-02-18,48
49,2009-02-19,59
50,2009-02-20,63
51,2009-02-21,83
52,2009-02-22,90
53,2009-02-23,74
54,2009-02-24,56
55,2009-02-25,40
56,2009-02-26,50
57,2009-02-27,73
58,2009-02-28,85
59,2009-03-01,117
60,2009-03-02,70
61,2009-03-03,64
62,2009-03-04,55
63,2009-03-05,59
64,2009-03-06,63
65,2009-03-07,95
66,2009-03-08,98
67,2009-03-09,50
68,2009-03-10,48
69,2009-03-11,71
70,2009-03-12,58
71,2009-03-13,83
72,2009-03-14,90
73,2009-03-15,95
74,2009-03-16,46
75,2009-03-17,45
76,2009-03-18,29
77,2009-03-19,55
78,2009-03-20,58
79,2009-03-21,93
80,2009-03-22,109
81,2009-03-23,57
82,2009-03-24,62
83,2009-03-25,53
84,2009-03-26,61
85,2009-03-27,61
86,2009-03-28,85
87,2009-03-29,89
88,2009-03-30,62
89,2009-03-31,52
90,2009-04-01,53
91,2009-04-02,53
92,2009-04-03,69
93,2009-04-04,97
94,2009-04-05,112
95,2009-04-06,48
96,2009-04-07,54
97,2009-04-08,57
98,2009-04-09,69
99,2009-04-10,79
100,2009-04-11,56
101,2009-04-12,76
102,2009-04-13,42
103,2009-04-14,55
104,2009-04-15,44
105,2009-04-16,56
106,2009-04-17,70
107,2009-04-18,104
108,2009-04-19,113
109,2009-04-20,60
110,2009-04-21,62
111,2009-04-22,49
112,2009-04-23,60
113,2009-04-24,62
114,2009-04-25,82
115,2009-04-26,81
116,2009-04-27,39
117,2009-04-28,91
118,2009-04-29,47
119,2009-04-30,65
120,2009-05-01,78
121,2009-05-02,74
122,2009-05-03,81
123,2009-05-04,39
124,2009-05-05,65
125,2009-05-06,63
126,2009-05-07,57
127,2009-05-08,77
128,2009-05-09,88
129,2009-05-10,81
130,2009-05-11,57
131,2009-05-12,64
132,2009-05-13,47
133,2009-05-14,45
134,2009-05-15,56
135,2009-05-16,66
136,2009-05-17,87
137,2009-05-18,50
138,2009-05-19,53
139,2009-05-20,38
140,2009-05-21,42
141,2009-05-22,68
142,2009-05-23,85
143,2009-05-24,110
144,2009-05-25,34
145,2009-05-26,35
146,2009-05-27,66
