LOGRADOURO_NOME,LATITUDE,LONGITUDE
DAVI XAVIER DA SILVA,-25.5105418,-49.3262167
 CARLOS KLEMTZ,-25.4763361,-49.3213157
DOUTOR JOÃO DE PAULA MOURA BRITO,-25.4813601,-49.2288696
EDGARD CAVALCANTI DE ALBUQUERQUE,-25.5404145,-49.2556538
 CARLOS MUNHOZ DA ROCHA,-25.5654293,-49.3377445
HUSSEIN IBRAHIM OMAIRY,-25.5536894,-49.2595574
 NOVA DE COLOMBO,-25.3462715,-49.211911365626094
 CARLOS ESSENFELDER,-25.4808775,-49.2393311
PRESIDENTE FARIA,-25.4292347,-49.2680068
SANTA EDWIGES,-25.484981,-49.35548765539493
 OSWALDO MACIEL,-25.378403,-49.2814178
TOBIAS DE MACEDO,-25.4270848,-49.3315185
TIRADENTES,-25.4299656,-49.2716245
MARIA HOMAN WISNIEWSKI,-25.4551169,-49.346905
1 DE MAIO,-25.4266832,-49.2723571
 OLINDO CAETANI,-25.4915193,-49.2029816
 FREDOLIN WOLF,-25.3827347,-49.3116253
ROCKEFELLER,-25.4426492,-49.2633815
 ÁGUA VERDE,-25.4552633,-49.2828084
 JOSÉ TISSI,-25.4356363,-49.3496171
 MARECHAL FLORIANO PEIXOTO,-25.4722127,-49.2516803
SILVA JARDIM,-25.439483600000003,-49.255828393508
DANIEL PETERSEN,-25.4852578,-49.3397281
 BRASILIA,-25.4295963,-49.2712724
SETEMBRINO PORTELLA NETO,,
EXPEDICIONÁRIO ESTANISLAU WOJCIK,-25.5353695,-49.2434914
JOSE RODRIGUES PINHEIRO,-25.5186729,-49.3224425
PINHEIRINHO,-25.5228792,-49.2904118
 THEOPHILO MANSUR,-25.4857296,-49.3089051
ESTANISLAU KUCEK,-25.371696,-49.26684933949312
PLÍNIO TOURINHO,-25.44023705,-49.25455737467148
ROSA CARVALHO CHAVES,-25.4883879,-49.2780765
DOUTOR ALFREDO VIEIRA BARCELOS,-25.4692146,-49.2279114
 REPÚBLICA ARGENTINA,-25.4592365,-49.5426067
 RUI BARBOSA,-25.4357562,-49.27220349911567
CANAL BELÉM,-25.4729592,-49.2445174
GAGO COUTINHO,-25.3995825,-49.2412761
PADRE TIAGO ALBERIONE,,
GENERAL ADALBERTO MASSA,-25.5512581,-49.2468063
ALFREDO BUFREN,-25.4286391,-49.2674489
PRESIDENTE AFFONSO CAMARGO,-25.4374349,-49.2562661
LODOVICO GERONAZZO,-25.3789472,-49.2560599
 LÉA MOREIRA DE SOUZA MOURA,-25.5109609,-49.3263561
 PARANÁ,-25.4295963,-49.2712724
 LODOVICO KAMINSKI,-25.4815835,-49.3527684
NOSSA SENHORA DE NAZARE,-25.386493,-49.2418202
NESTOR DE CASTRO,-25.4279146,-49.2710686
SÃO FRANCISCO,-25.4237543,-49.2770883
JOÃO BUDEL,-25.390733,-49.3547755
BEATO PEDRO DONDERS,-25.5304712,-49.338064
CARLOS MUNHOZ DA ROCHA,-25.5654293,-49.3377445
JORGE WENDLER,-25.5082873,-49.2594233
ANDRE PRADO,-25.5327185,-49.3371749
RICARDO EMÍLIO MICHEL,-25.4899914,-49.3408173
HENRIQUE JOSÉ SIKORSKI,-25.4474822,-49.3133939
ANGELINA ANSAI,-25.4797227,-49.3216747
NOVA AURORA,-25.541002,-49.27663705154137
AMADEU PIOTTO,-25.4342727,-49.3532869
MUNICÍPIO DE CAMPO NOVO,-25.4724929,-49.3496407
JOÃO NICOLETTI DAROS,-25.5062318,-49.2770939
ADIR JOSÉ FRASON,-25.435291,-49.3630473
RAUL POMPEIA,-25.4780591,-49.3395635
JOÃO CASAGRANDE,-25.4548994,-49.2107088
DESEMBARGADOR CID CAMPELO,-25.5119715,-49.3324731
PEDRO SEBASTIÃO MEDEIROS,-25.5275716,-49.243327
LUIS CASA GRANDE,,
HAYDÉE PEREIRA DO NASCIMENTO,-25.4851618,-49.3071422
IRIS ANTONIO CAMPOS,-25.4662342,-49.322733
REPÚBLICA ARGENTINA,-25.4592365,-49.5426067
MARQUÊS DE BARBACENA,-25.4806431,-49.3463715
PROFESSOR THEODÓCIO JORGE ATHERINO,,
DOUTOR BLEY ZORNIG,-25.5083343,-49.2171154
LARANJEIRAS DO SUL,-25.5245245,-49.2353909
ALVARES DE AZEVEDO,-25.4813204,-49.3461814
JOSÉ BATISTA DOS SANTOS,-25.4760425,-49.3443311
Das Torres,-25.48052995,-49.21893292793686
MANOEL RIBAS,-25.4245106,-49.2795089
COMENDADOR ARAÚJO,-25.436029,-49.2791802
ANTONIO VIEIRA BORGES,-25.4435168,-49.2517734
REINALDO STROBEL,-25.485115,-49.3545348
PASTOR MANOEL VIRGÍNIO DE SOUZA,-25.4397458,-49.2124818
GUABIROTUBA,-25.4651025,-49.24252137771928
ROGERIO PEREIRA DE CAMARGO,-25.4440812,-49.3551883
ENGENHEIRO ALBERTO MONTEIRO DE CARVALHO,-25.4349128,-49.2138624
BRIGADEIRO ARTHUR CARLOS PERALTA,-25.3873598,-49.2471687
MARECHAL FLORIANO PEIXOTO,-25.4722127,-49.2516803
PINHEIRO MACHADO,-25.4088095,-49.2242205
ELIAS CASSEB,-25.5614423,-49.3331142
HIATO SHIMORI,,
ARTHUR MARTINS FRANCO,-25.4940037,-49.3353041
JOÃO BATISTA DOS SANTOS,,
GARUVA,-25.4770061,-49.3401547
CORONEL PEDRO SCHERER SOBRINHO,-25.4355902,-49.2388591
ASSIS BRASIL,-25.36986,-49.2654765
SÃO BENTO,-25.4809061,-49.2572709
MÁRIO BUENO SOBRINHO,-25.471896,-49.2253266
VICENTE MACHADO,-25.5942156,-49.40816825715956
ARISTIDES TISSOT,-25.4759607,-49.3345918
HERCULANO DE ARAUJO FILHO,-25.5282058,-49.3373157
SILVIO DA MAIA MOREIRA,-25.4924755,-49.2257885
ALTON TCHEKOW,,
CURITIBA PONTA GROSSA BR-277,-25.4381926,-49.2607929
QUADRA 10,,
LEOCÁDIO MOSKALEVISKI LACERDA,,
TENENTE CORONEL BENJAMIN LAGE,-25.4985457,-49.2185222
CABRAL,-25.4074203,-49.2515182
NICOLAU SALOMÃO,-25.3845483,-49.2247447
AUGUSTO BASSO,-25.3916317,-49.285288
DEPUTADO HEITOR ALENCAR FURTADO,-25.44333675,-49.35392504942406
JUAREZ TÁVORA,-25.5571144,-49.3331866
JOÃO MEQUETTI,-25.3767466,-49.237842
CIRO DE CASTRO,-25.4706904,-49.3419929
PROFESSOR ROMÃO WACHOWICZ,-25.5096158,-49.3360914
ANTONIO REINALDO ZANON,-25.4789291,-49.3367842
CARLOTA STRAUBE DE ARAÚJO,-25.3832506,-49.2464411
 LADISLAU MIKOSZ,-25.468263,-49.1992774
JORGE ADIR NEPOMOCENO,-25.4376977,-49.3631695
DA ORDEM,-25.42747415,-49.27206141724876
 WINSTON CHURCHILL,-25.4958282,-49.2948805
 CIDADE DE LAGUNA,-25.4750949,-49.3405374
LAURO DA SILVA,-25.5030248,-49.3240019
CERRO AZUL,-25.4576905,-49.3766583
RICARDO GASPARIAN MACHADO,-25.5323034,-49.2856202
MANOEL GUSTAVO SCHIER,-25.4810118,-49.3096357
ROMANO BERTAGNOLI,-25.4213364,-49.2999945
ORESTES CODEGA,-25.5215369,-49.3025333
SIGISMUNDO GRADOWSKI,,
BISPO SÃO FÉLIX,-25.5628694,-49.3299836
 GUILHERME WALTER LOWRY,-25.4996071,-49.2071496
GUY DE MAUPASSANT,-25.3882995,-49.2861321
PREFEITO JOÃO MOREIRA GARCEZ,-25.4286603,-49.2705845
ANTONIO ESCORSIN,-25.414766,-49.3401428
DOUTOR CARLOS DE CARVALHO,-25.4328629,-49.2790441
DA GLÓRIA,-25.4207212,-49.2675763
INOCÊNCIO MILANI,-25.4138411,-49.3486019
 VIA VENETO,-25.4118232,-49.3423647439466
SENADOR ACCIOLY FILHO,-25.5348349,-49.26836
RARI GRAAL,,
PADRE PAULO WARKOCZ,-25.4385361,-49.3550879
JOSÉ SCUISSIATO,-25.4439202,-49.3067643
TEOMILIA DE FREITAS MACHADO,-25.477902,-49.3335178
DELEGADO BRUNO DE ALMEIDA,-25.5652303,-49.315154
 JORNALISTA EMÍLIO ZOLA FLORENZANO,-25.5756889,-49.336774
DESEMBARGADOR JOAQUIM PENIDO MONTEIRO,-25.4144751,-49.238609
COLÔMBIA,-25.4083551,-49.239745
 MIGUEL DE LAZZARI,-25.3924686,-49.2905573
REINALDO ISSBERNER,-25.4511883,-49.2270132
 EWERTON LEINIG SAPORSKI,-25.5909664,-49.3428718
 CORONEL HERCULANO DE ARAUJO,-25.4874058,-49.3102633
 ANTONIO MOREIRA LOPES,-25.4814346,-49.1948837
CÂNDIDO HARTMANN,-25.4268727,-49.298804
LUPIONÓPOLIS,-25.5477094,-49.271857
 ANTONIO CLAUDINO,-25.9281965,-49.1350419
 CÂNDIDO HARTMANN,-25.4268727,-49.298804
JOÃO RODRIGUES PINHEIRO,-25.5117575,-49.2944757
 JOSÉ ALCIDES DE LIMA,-25.4926149,-49.306569
LUIZ XAVIER DA SILVA,-25.4773206,-49.1719441
NESTOR VICTOR,-25.4568186,-49.2695863
EMILIO BERTOLINI,-25.4446501,-49.2051189
FRANCISCO CASTELLANO,,
EURIDES CUNHA,-25.4545947,-49.2924084
GENEROSO MARQUES,-25.42974135,-49.269532815229766
CAPITÃO ROBERTO LOPES QUINTAS,-25.5371968,-49.2371866
MILTON MIRAMIR VISINONI,-25.5434313,-49.2502128
CARLOS KLEMTZ,-25.4763361,-49.3213157
PREFEITO MAURÍCIO FRUET,-25.4394596,-49.2381879
DO ROSÁRIO,-25.4271523,-49.27371294581076
LUIZ AUGUSTO DE TOLEDO LEITE,-25.5579687,-49.2798678
CORONEL WALLACE SCOTT MURRAY,-25.3775523,-49.2323862
SERGIPE,-25.4746499,-49.2819026
 EUCLIDES BANDEIRA,-25.4150228,-49.2705364
ZORAYDE MANDELLI,-25.4417752,-49.2012816
GUARANDI,-25.4187451,-49.3385348
