x0_final_de_semana,x1_time,x2_lag1,x3_lag2,x4_lag3,x5_lag4,x6_lag5,x7_lag6,x8_lag7,x10_feriado,x11_pandemia,OCORRENCIAS_ATENDIDAS,outlier,data,previstas
0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,30,0,2009-01-01,1
0,1,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,81,1,2009-01-02,11
1,2,81.0,30.0,0.0,0.0,0.0,0.0,0.0,0,0,96,1,2009-01-03,41
1,3,96.0,81.0,30.0,0.0,0.0,0.0,0.0,0,0,93,0,2009-01-04,52
0,4,93.0,96.0,81.0,30.0,0.0,0.0,0.0,0,0,59,0,2009-01-05,45
0,5,59.0,93.0,96.0,81.0,30.0,0.0,0.0,0,0,30,0,2009-01-06,37
0,6,30.0,59.0,93.0,96.0,81.0,30.0,0.0,0,0,70,0,2009-01-07,31
0,7,70.0,30.0,59.0,93.0,96.0,81.0,30.0,0,0,61,0,2009-01-08,57
0,8,61.0,70.0,30.0,59.0,93.0,96.0,81.0,0,0,76,0,2009-01-09,67
1,9,76.0,61.0,70.0,30.0,59.0,93.0,96.0,0,0,104,0,2009-01-10,78
1,10,104.0,76.0,61.0,70.0,30.0,59.0,93.0,0,0,77,0,2009-01-11,87
0,11,77.0,104.0,76.0,61.0,70.0,30.0,59.0,0,0,80,0,2009-01-12,59
0,12,80.0,77.0,104.0,76.0,61.0,70.0,30.0,0,0,60,0,2009-01-13,61
0,13,60.0,80.0,77.0,104.0,76.0,61.0,70.0,0,0,64,0,2009-01-14,63
0,14,64.0,60.0,80.0,77.0,104.0,76.0,61.0,0,0,62,0,2009-01-15,61
0,15,62.0,64.0,60.0,80.0,77.0,104.0,76.0,0,0,73,0,2009-01-16,69
1,16,73.0,62.0,64.0,60.0,80.0,77.0,104.0,0,0,109,0,2009-01-17,79
1,17,109.0,73.0,62.0,64.0,60.0,80.0,77.0,0,0,99,0,2009-01-18,90
0,18,99.0,109.0,73.0,62.0,64.0,60.0,80.0,0,0,63,0,2009-01-19,77
