data_fato,qtde_boletins,tipo
2016-01-01,18,Estelionato
2016-01-01,1,Tráfico de drogas
2016-01-01,114,Furto/Roubo
2016-01-01,57,Violência Doméstica
2016-01-02,7,Tráfico de drogas
2016-01-02,8,Estelionato
2016-01-02,123,Furto/Roubo
2016-01-02,31,Violência Doméstica
2016-01-03,3,Estelionato
2016-01-03,6,Tráfico de drogas
2016-01-03,174,Furto/Roubo
2016-01-03,29,Violência Doméstica
2016-01-04,5,Tráfico de drogas
2016-01-04,50,Violência Doméstica
2016-01-04,221,Furto/Roubo
2016-01-04,30,Estelionato
2016-01-05,46,Violência Doméstica
2016-01-05,6,Tráfico de drogas
2016-01-05,218,Furto/Roubo
2016-01-05,19,Estelionato
2016-01-06,29,Violência Doméstica
2016-01-06,221,Furto/Roubo
2016-01-06,17,Estelionato
2016-01-06,10,Tráfico de drogas
2016-01-07,10,Tráfico de drogas
2016-01-07,36,Violência Doméstica
2016-01-07,218,Furto/Roubo
2016-01-07,19,Estelionato
2016-01-08,211,Furto/Roubo
2016-01-08,17,Estelionato
2016-01-08,12,Tráfico de drogas
2016-01-08,29,Violência Doméstica
2016-01-09,9,Tráfico de drogas
2016-01-09,163,Furto/Roubo
2016-01-09,30,Violência Doméstica
2016-01-09,3,Estelionato
2016-01-10,6,Tráfico de drogas
2016-01-10,134,Furto/Roubo
2016-01-10,39,Violência Doméstica
2016-01-10,23,Estelionato
2016-01-11,5,Tráfico de drogas
2016-01-11,246,Furto/Roubo
2016-01-11,37,Violência Doméstica
2016-01-11,25,Estelionato
2016-01-12,38,Violência Doméstica
2016-01-12,17,Estelionato
2016-01-12,207,Furto/Roubo
2016-01-12,7,Tráfico de drogas
2016-01-13,25,Violência Doméstica
2016-01-13,7,Tráfico de drogas
2016-01-13,201,Furto/Roubo
2016-01-13,23,Estelionato
2016-01-14,7,Tráfico de drogas
2016-01-14,217,Furto/Roubo
2016-01-14,21,Estelionato
2016-01-14,56,Violência Doméstica
2016-01-15,247,Furto/Roubo
2016-01-15,8,Tráfico de drogas
2016-01-15,25,Estelionato
2016-01-15,47,Violência Doméstica
2016-01-16,163,Furto/Roubo
