data_fato,qtde_boletins,tipo,natureza,horaFato,descBairro
2016-01-01,2,ESTELIONATO,ESTELIONATO,0,CENTRO
2016-01-01,2,ESTELIONATO,ESTELIONATO,0,GUABIROTUBA
2016-01-01,1,ESTELIONATO,ESTELIONATO,7,PORTAO
2016-01-01,1,ESTELIONATO,ESTELIONATO,8,BATEL
2016-01-01,1,ESTELIONATO,ESTELIONATO,9,BACACHERI
2016-01-01,1,ESTELIONATO,ESTELIONATO,9,CAJURU
2016-01-01,3,ESTELIONATO,ESTELIONATO,10,CENTRO
2016-01-01,1,ESTELIONATO,ESTELIONATO,10,GUAIRA
2016-01-01,1,ESTELIONATO,ESTELIONATO,10,HUGO LANGE
2016-01-01,1,ESTELIONATO,ESTELIONATO,11,BATEL
2016-01-01,1,ESTELIONATO,ESTELIONATO,12,BATEL
2016-01-01,1,ESTELIONATO,ESTELIONATO,12,CIDADE INDUSTRIAL
2016-01-01,1,ESTELIONATO,ESTELIONATO,12,UBERABA
2016-01-01,1,ESTELIONATO,ESTELIONATO,18,CABRAL
2016-01-02,1,ESTELIONATO,ESTELIONATO,0,CAJURU
2016-01-02,1,ESTELIONATO,ESTELIONATO,8,BARREIRINHA
2016-01-02,1,ESTELIONATO,ESTELIONATO,8,CABRAL
2016-01-02,1,ESTELIONATO,ESTELIONATO,8,SITIO CERCADO
2016-01-02,1,ESTELIONATO,ESTELIONATO,10,BAIRRO ALTO
2016-01-02,1,ESTELIONATO,ESTELIONATO,10,PINHEIRINHO
2016-01-02,1,ESTELIONATO,ESTELIONATO,11,XAXIM
2016-01-02,1,ESTELIONATO,ESTELIONATO,11,UBERABA
2016-01-03,1,ESTELIONATO,ESTELIONATO,0,CAMPO COMPRIDO
2016-01-03,1,ESTELIONATO,ESTELIONATO,12,CENTRO
2016-01-03,1,ESTELIONATO,ESTELIONATO,18,SITIO CERCADO
2016-01-04,1,ESTELIONATO,ESTELIONATO,0,CAJURU
2016-01-04,1,ESTELIONATO,ESTELIONATO,0,CENTRO
2016-01-04,1,ESTELIONATO,ESTELIONATO,0,SEMINARIO
2016-01-04,1,ESTELIONATO,ESTELIONATO,0,TATUQUARA
2016-01-04,1,ESTELIONATO,ESTELIONATO,8,CENTRO
2016-01-04,1,ESTELIONATO,ESTELIONATO,9,BOQUEIRAO
2016-01-04,1,ESTELIONATO,ESTELIONATO,9,SANTA CANDIDA
2016-01-04,1,ESTELIONATO,ESTELIONATO,9,SANTA QUITERIA
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,ALTO BOQUEIRAO
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,BOQUEIRAO
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,CAPAO DA IMBUIA
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,CASCATINHA
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,MERCES
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,PAROLIN
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,PORTAO
2016-01-04,1,ESTELIONATO,ESTELIONATO,10,CENTRO
2016-01-04,1,ESTELIONATO,ESTELIONATO,11,TATUQUARA
2016-01-04,1,ESTELIONATO,ESTELIONATO,11,CENTRO
2016-01-04,1,ESTELIONATO,ESTELIONATO,11,SITIO CERCADO
2016-01-04,1,ESTELIONATO,ESTELIONATO,11,CIC
2016-01-04,1,ESTELIONATO,ESTELIONATO,12,CENTRO
2016-01-04,1,ESTELIONATO,ESTELIONATO,12,SAO BRAZ
2016-01-04,1,ESTELIONATO,ESTELIONATO,12,SANTA FELICIDADE
2016-01-04,1,ESTELIONATO,ESTELIONATO,12,AGUA VERDE
2016-01-04,1,ESTELIONATO,ESTELIONATO,13,SITIO CERCADO
2016-01-04,1,ESTELIONATO,ESTELIONATO,14,CAJURU
2016-01-04,1,ESTELIONATO,ESTELIONATO,14,UBERABA
2016-01-04,1,ESTELIONATO,ESTELIONATO,14,BOTAFOGO
2016-01-04,1,ESTELIONATO,ESTELIONATO,15,CAPAO DA IMBUIA
