mes,boletins
2016-01-01 00:00:00,532
2016-02-01 00:00:00,520
2016-03-01 00:00:00,681
2016-04-01 00:00:00,539
2016-05-01 00:00:00,562
2016-06-01 00:00:00,608
2016-07-01 00:00:00,559
2016-08-01 00:00:00,655
2016-09-01 00:00:00,549
2016-10-01 00:00:00,498
2016-11-01 00:00:00,659
2016-12-01 00:00:00,653
2017-01-01 00:00:00,635
2017-02-01 00:00:00,555
2017-03-01 00:00:00,660
2017-04-01 00:00:00,554
2017-05-01 00:00:00,683
2017-06-01 00:00:00,598
2017-07-01 00:00:00,710
2017-08-01 00:00:00,746
2017-09-01 00:00:00,618
2017-10-01 00:00:00,636
2017-11-01 00:00:00,694
2017-12-01 00:00:00,568
2018-01-01 00:00:00,710
2018-02-01 00:00:00,567
2018-03-01 00:00:00,715
2018-04-01 00:00:00,654
2018-05-01 00:00:00,712
2018-06-01 00:00:00,659
2018-07-01 00:00:00,753
2018-08-01 00:00:00,778
2018-09-01 00:00:00,640
2018-10-01 00:00:00,863
2018-11-01 00:00:00,821
2018-12-01 00:00:00,733
2019-01-01 00:00:00,785
2019-02-01 00:00:00,758
2019-03-01 00:00:00,756
2019-04-01 00:00:00,945
2019-05-01 00:00:00,1015
2019-06-01 00:00:00,767
2019-07-01 00:00:00,917
2019-08-01 00:00:00,995
2019-09-01 00:00:00,968
2019-10-01 00:00:00,1067
2019-11-01 00:00:00,1002
2019-12-01 00:00:00,909
2020-01-01 00:00:00,1089
2020-02-01 00:00:00,875
2020-03-01 00:00:00,647
2020-04-01 00:00:00,539
2020-05-01 00:00:00,798
2020-06-01 00:00:00,1611
2020-07-01 00:00:00,1951
2020-08-01 00:00:00,1718
2020-09-01 00:00:00,2048
2020-10-01 00:00:00,2218
2020-11-01 00:00:00,2065
2020-12-01 00:00:00,1804
