semana,boletins
2016-01-03 00:00:00,134
2016-01-10 00:00:00,151
2016-01-17 00:00:00,119
2016-01-24 00:00:00,124
2016-01-31 00:00:00,148
2016-02-07 00:00:00,92
2016-02-14 00:00:00,141
2016-02-21 00:00:00,120
2016-02-28 00:00:00,160
2016-03-06 00:00:00,152
2016-03-13 00:00:00,174
2016-03-20 00:00:00,117
2016-03-27 00:00:00,154
2016-04-03 00:00:00,150
2016-04-10 00:00:00,132
2016-04-17 00:00:00,94
2016-04-24 00:00:00,110
2016-05-01 00:00:00,127
2016-05-08 00:00:00,142
2016-05-15 00:00:00,125
2016-05-22 00:00:00,121
2016-05-29 00:00:00,137
2016-06-05 00:00:00,167
2016-06-12 00:00:00,130
2016-06-19 00:00:00,133
2016-06-26 00:00:00,147
2016-07-03 00:00:00,133
2016-07-10 00:00:00,135
2016-07-17 00:00:00,123
2016-07-24 00:00:00,107
2016-07-31 00:00:00,145
2016-08-07 00:00:00,139
2016-08-14 00:00:00,139
2016-08-21 00:00:00,153
2016-08-28 00:00:00,142
2016-09-04 00:00:00,115
2016-09-11 00:00:00,111
2016-09-18 00:00:00,144
2016-09-25 00:00:00,135
2016-10-02 00:00:00,132
2016-10-09 00:00:00,127
2016-10-16 00:00:00,92
2016-10-23 00:00:00,98
2016-10-30 00:00:00,137
2016-11-06 00:00:00,168
2016-11-13 00:00:00,129
2016-11-20 00:00:00,162
2016-11-27 00:00:00,170
2016-12-04 00:00:00,168
2016-12-11 00:00:00,170
2016-12-18 00:00:00,139
2016-12-25 00:00:00,101
2017-01-01 00:00:00,145
2017-01-08 00:00:00,126
2017-01-15 00:00:00,165
2017-01-22 00:00:00,127
2017-01-29 00:00:00,175
2017-02-05 00:00:00,150
2017-02-12 00:00:00,154
2017-02-19 00:00:00,131
2017-02-26 00:00:00,110
2017-03-05 00:00:00,148
2017-03-12 00:00:00,143
2017-03-19 00:00:00,156
2017-03-26 00:00:00,136
2017-04-02 00:00:00,152
2017-04-09 00:00:00,131
2017-04-16 00:00:00,116
2017-04-23 00:00:00,129
2017-04-30 00:00:00,162
2017-05-07 00:00:00,159
2017-05-14 00:00:00,163
2017-05-21 00:00:00,144
2017-05-28 00:00:00,126
2017-06-04 00:00:00,131
2017-06-11 00:00:00,139
2017-06-18 00:00:00,141
2017-06-25 00:00:00,152
2017-07-02 00:00:00,170
2017-07-09 00:00:00,170
2017-07-16 00:00:00,167
2017-07-23 00:00:00,141
2017-07-30 00:00:00,183
2017-08-06 00:00:00,147
2017-08-13 00:00:00,168
2017-08-20 00:00:00,143
2017-08-27 00:00:00,181
2017-09-03 00:00:00,113
2017-09-10 00:00:00,147
2017-09-17 00:00:00,150
2017-09-24 00:00:00,168
2017-10-01 00:00:00,160
2017-10-08 00:00:00,110
2017-10-15 00:00:00,152
2017-10-22 00:00:00,146
2017-10-29 00:00:00,150
2017-11-05 00:00:00,184
2017-11-12 00:00:00,129
2017-11-19 00:00:00,171
2017-11-26 00:00:00,166
2017-12-03 00:00:00,151
2017-12-10 00:00:00,153
2017-12-17 00:00:00,140
2017-12-24 00:00:00,82
2017-12-31 00:00:00,121
2018-01-07 00:00:00,162
2018-01-14 00:00:00,173
2018-01-21 00:00:00,152
2018-01-28 00:00:00,183
2018-02-04 00:00:00,159
2018-02-11 00:00:00,95
2018-02-18 00:00:00,139
2018-02-25 00:00:00,172
2018-03-04 00:00:00,185
2018-03-11 00:00:00,170
2018-03-18 00:00:00,153
2018-03-25 00:00:00,132
2018-04-01 00:00:00,194
2018-04-08 00:00:00,154
2018-04-15 00:00:00,146
2018-04-22 00:00:00,133
2018-04-29 00:00:00,152
2018-05-06 00:00:00,182
2018-05-13 00:00:00,162
2018-05-20 00:00:00,147
2018-05-27 00:00:00,135
2018-06-03 00:00:00,146
2018-06-10 00:00:00,181
2018-06-17 00:00:00,146
2018-06-24 00:00:00,147
2018-07-01 00:00:00,190
2018-07-08 00:00:00,163
2018-07-15 00:00:00,185
2018-07-22 00:00:00,136
2018-07-29 00:00:00,187
2018-08-05 00:00:00,163
2018-08-12 00:00:00,191
2018-08-19 00:00:00,157
2018-08-26 00:00:00,183
2018-09-02 00:00:00,150
2018-09-09 00:00:00,170
2018-09-16 00:00:00,153
2018-09-23 00:00:00,139
2018-09-30 00:00:00,190
2018-10-07 00:00:00,149
2018-10-14 00:00:00,199
2018-10-21 00:00:00,198
2018-10-28 00:00:00,189
2018-11-04 00:00:00,194
2018-11-11 00:00:00,194
2018-11-18 00:00:00,193
2018-11-25 00:00:00,207
2018-12-02 00:00:00,195
2018-12-09 00:00:00,226
2018-12-16 00:00:00,182
2018-12-23 00:00:00,96
2018-12-30 00:00:00,107
2019-01-06 00:00:00,172
2019-01-13 00:00:00,190
2019-01-20 00:00:00,195
2019-01-27 00:00:00,187
2019-02-03 00:00:00,197
2019-02-10 00:00:00,195
2019-02-17 00:00:00,178
2019-02-24 00:00:00,167
2019-03-03 00:00:00,132
2019-03-10 00:00:00,217
2019-03-17 00:00:00,175
2019-03-24 00:00:00,193
2019-03-31 00:00:00,222
2019-04-07 00:00:00,224
2019-04-14 00:00:00,200
2019-04-21 00:00:00,203
2019-04-28 00:00:00,228
2019-05-05 00:00:00,264
2019-05-12 00:00:00,224
2019-05-19 00:00:00,218
2019-05-26 00:00:00,205
2019-06-02 00:00:00,215
2019-06-09 00:00:00,174
2019-06-16 00:00:00,145
2019-06-23 00:00:00,201
2019-06-30 00:00:00,192
2019-07-07 00:00:00,202
2019-07-14 00:00:00,199
2019-07-21 00:00:00,202
2019-07-28 00:00:00,230
2019-08-04 00:00:00,207
2019-08-11 00:00:00,236
2019-08-18 00:00:00,207
2019-08-25 00:00:00,244
2019-09-01 00:00:00,245
2019-09-08 00:00:00,218
2019-09-15 00:00:00,215
2019-09-22 00:00:00,242
2019-09-29 00:00:00,236
2019-10-06 00:00:00,200
2019-10-13 00:00:00,260
2019-10-20 00:00:00,239
2019-10-27 00:00:00,266
2019-11-03 00:00:00,220
2019-11-10 00:00:00,180
2019-11-17 00:00:00,239
2019-11-24 00:00:00,277
2019-12-01 00:00:00,277
2019-12-08 00:00:00,256
2019-12-15 00:00:00,236
2019-12-22 00:00:00,100
2019-12-29 00:00:00,130
2020-01-05 00:00:00,249
2020-01-12 00:00:00,267
2020-01-19 00:00:00,258
2020-01-26 00:00:00,237
2020-02-02 00:00:00,267
2020-02-09 00:00:00,253
2020-02-16 00:00:00,221
2020-02-23 00:00:00,122
2020-03-01 00:00:00,201
2020-03-08 00:00:00,213
2020-03-15 00:00:00,113
2020-03-22 00:00:00,80
2020-03-29 00:00:00,110
2020-04-05 00:00:00,89
2020-04-12 00:00:00,143
2020-04-19 00:00:00,122
2020-04-26 00:00:00,139
2020-05-03 00:00:00,191
2020-05-10 00:00:00,172
2020-05-17 00:00:00,175
2020-05-24 00:00:00,223
2020-05-31 00:00:00,373
2020-06-07 00:00:00,347
2020-06-14 00:00:00,409
2020-06-21 00:00:00,377
