dia,boletins
2016-01-01 00:00:00,114
2016-01-02 00:00:00,123
2016-01-03 00:00:00,173
2016-01-04 00:00:00,220
2016-01-05 00:00:00,218
2016-01-06 00:00:00,221
2016-01-07 00:00:00,218
2016-01-08 00:00:00,211
2016-01-09 00:00:00,162
2016-01-10 00:00:00,134
2016-01-11 00:00:00,246
2016-01-12 00:00:00,207
2016-01-13 00:00:00,201
2016-01-14 00:00:00,217
2016-01-15 00:00:00,244
2016-01-16 00:00:00,163
2016-01-17 00:00:00,136
2016-01-18 00:00:00,215
2016-01-19 00:00:00,211
2016-01-20 00:00:00,198
2016-01-21 00:00:00,193
2016-01-22 00:00:00,228
2016-01-23 00:00:00,185
2016-01-24 00:00:00,163
2016-01-25 00:00:00,230
2016-01-26 00:00:00,215
2016-01-27 00:00:00,246
2016-01-28 00:00:00,243
2016-01-29 00:00:00,233
2016-01-30 00:00:00,165
2016-01-31 00:00:00,134
2016-02-01 00:00:00,269
2016-02-02 00:00:00,248
2016-02-03 00:00:00,295
2016-02-04 00:00:00,283
2016-02-05 00:00:00,251
2016-02-06 00:00:00,181
2016-02-07 00:00:00,138
2016-02-08 00:00:00,165
2016-02-09 00:00:00,173
2016-02-10 00:00:00,196
2016-02-11 00:00:00,239
2016-02-12 00:00:00,273
2016-02-13 00:00:00,183
2016-02-14 00:00:00,143
2016-02-15 00:00:00,273
2016-02-16 00:00:00,234
2016-02-17 00:00:00,226
2016-02-18 00:00:00,226
2016-02-19 00:00:00,233
2016-02-20 00:00:00,191
2016-02-21 00:00:00,152
2016-02-22 00:00:00,225
2016-02-23 00:00:00,270
2016-02-24 00:00:00,256
2016-02-25 00:00:00,256
2016-02-26 00:00:00,287
2016-02-27 00:00:00,196
2016-02-28 00:00:00,141
2016-02-29 00:00:00,253
2016-03-01 00:00:00,274
2016-03-02 00:00:00,259
2016-03-03 00:00:00,248
2016-03-04 00:00:00,292
2016-03-05 00:00:00,195
2016-03-06 00:00:00,131
2016-03-07 00:00:00,259
2016-03-08 00:00:00,248
2016-03-09 00:00:00,274
2016-03-10 00:00:00,253
2016-03-11 00:00:00,258
2016-03-12 00:00:00,183
2016-03-13 00:00:00,133
2016-03-14 00:00:00,237
2016-03-15 00:00:00,250
2016-03-16 00:00:00,261
2016-03-17 00:00:00,255
2016-03-18 00:00:00,265
2016-03-19 00:00:00,188
2016-03-20 00:00:00,165
2016-03-21 00:00:00,277
2016-03-22 00:00:00,251
2016-03-23 00:00:00,284
2016-03-24 00:00:00,273
