mes,boletins
2016-01-01 00:00:00,6067
2016-02-01 00:00:00,6456
2016-03-01 00:00:00,7206
2016-04-01 00:00:00,6801
2016-05-01 00:00:00,6806
2016-06-01 00:00:00,7162
2016-07-01 00:00:00,7261
2016-08-01 00:00:00,7521
2016-09-01 00:00:00,7277
2016-10-01 00:00:00,6434
2016-11-01 00:00:00,7211
2016-12-01 00:00:00,6395
2017-01-01 00:00:00,6333
2017-02-01 00:00:00,6042
2017-03-01 00:00:00,6885
2017-04-01 00:00:00,6030
2017-05-01 00:00:00,6583
2017-06-01 00:00:00,6541
2017-07-01 00:00:00,6704
2017-08-01 00:00:00,6872
2017-09-01 00:00:00,6167
2017-10-01 00:00:00,6578
2017-11-01 00:00:00,6078
2017-12-01 00:00:00,5345
2018-01-01 00:00:00,5889
2018-02-01 00:00:00,5407
2018-03-01 00:00:00,6115
2018-04-01 00:00:00,6162
2018-05-01 00:00:00,5983
2018-06-01 00:00:00,5989
2018-07-01 00:00:00,6169
2018-08-01 00:00:00,6119
2018-09-01 00:00:00,5082
2018-10-01 00:00:00,5727
2018-11-01 00:00:00,5419
2018-12-01 00:00:00,5152
2019-01-01 00:00:00,4984
2019-02-01 00:00:00,4800
2019-03-01 00:00:00,5037
2019-04-01 00:00:00,4985
2019-05-01 00:00:00,4871
2019-06-01 00:00:00,4703
2019-07-01 00:00:00,4935
2019-08-01 00:00:00,4910
2019-09-01 00:00:00,4594
2019-10-01 00:00:00,4717
2019-11-01 00:00:00,4645
2019-12-01 00:00:00,4625
2020-01-01 00:00:00,5243
2020-02-01 00:00:00,5150
2020-03-01 00:00:00,4900
2020-04-01 00:00:00,3790
2020-05-01 00:00:00,3975
2020-06-01 00:00:00,3605
2020-07-01 00:00:00,3439
2020-08-01 00:00:00,3322
2020-09-01 00:00:00,3522
2020-10-01 00:00:00,3801
2020-11-01 00:00:00,3842
2020-12-01 00:00:00,3543
