semana,boletins
2016-01-01 00:00:00,237
2016-01-03 00:00:00,1423
2016-01-10 00:00:00,1412
2016-01-17 00:00:00,1366
2016-01-24 00:00:00,1495
2016-01-31 00:00:00,1661
2016-02-07 00:00:00,1367
2016-02-14 00:00:00,1526
2016-02-21 00:00:00,1642
2016-02-28 00:00:00,1662
2016-03-06 00:00:00,1606
2016-03-13 00:00:00,1589
2016-03-20 00:00:00,1622
2016-03-27 00:00:00,1542
2016-04-03 00:00:00,1630
2016-04-10 00:00:00,1639
2016-04-17 00:00:00,1550
2016-04-24 00:00:00,1561
2016-05-01 00:00:00,1594
2016-05-08 00:00:00,1515
2016-05-15 00:00:00,1641
2016-05-22 00:00:00,1378
2016-05-29 00:00:00,1676
2016-06-05 00:00:00,1638
2016-06-12 00:00:00,1659
2016-06-19 00:00:00,1674
2016-06-26 00:00:00,1678
2016-07-03 00:00:00,1653
2016-07-10 00:00:00,1613
2016-07-17 00:00:00,1727
2016-07-24 00:00:00,1645
2016-07-31 00:00:00,1705
2016-08-07 00:00:00,1682
2016-08-14 00:00:00,1606
2016-08-21 00:00:00,1703
2016-08-28 00:00:00,1782
2016-09-04 00:00:00,1480
2016-09-11 00:00:00,1765
2016-09-18 00:00:00,1682
2016-09-25 00:00:00,1740
2016-10-02 00:00:00,1694
2016-10-09 00:00:00,1515
2016-10-16 00:00:00,1272
2016-10-23 00:00:00,1373
2016-10-30 00:00:00,1713
2016-11-06 00:00:00,1686
2016-11-13 00:00:00,1498
2016-11-20 00:00:00,1736
2016-11-27 00:00:00,1613
2016-12-04 00:00:00,1519
2016-12-11 00:00:00,1523
2016-12-18 00:00:00,1505
2016-12-25 00:00:00,1184
2017-01-01 00:00:00,1264
2017-01-08 00:00:00,1446
2017-01-15 00:00:00,1528
2017-01-22 00:00:00,1469
2017-01-29 00:00:00,1530
2017-02-05 00:00:00,1570
2017-02-12 00:00:00,1477
2017-02-19 00:00:00,1618
2017-02-26 00:00:00,1420
2017-03-05 00:00:00,1551
2017-03-12 00:00:00,1429
2017-03-19 00:00:00,1536
2017-03-26 00:00:00,1614
2017-04-02 00:00:00,1568
2017-04-09 00:00:00,1375
2017-04-16 00:00:00,1381
2017-04-23 00:00:00,1402
2017-04-30 00:00:00,1398
2017-05-07 00:00:00,1461
2017-05-14 00:00:00,1482
2017-05-21 00:00:00,1487
2017-05-28 00:00:00,1508
2017-06-04 00:00:00,1472
2017-06-11 00:00:00,1364
2017-06-18 00:00:00,1666
2017-06-25 00:00:00,1579
