tipo,semana,boletins
FURTO,2016-01-03 00:00:00,941
ROUBO,2016-01-03 00:00:00,722
FURTO,2016-01-10 00:00:00,816
ROUBO,2016-01-10 00:00:00,599
FURTO,2016-01-17 00:00:00,759
ROUBO,2016-01-17 00:00:00,607
FURTO,2016-01-24 00:00:00,857
ROUBO,2016-01-24 00:00:00,640
FURTO,2016-01-31 00:00:00,928
ROUBO,2016-01-31 00:00:00,733
FURTO,2016-02-07 00:00:00,763
ROUBO,2016-02-07 00:00:00,605
FURTO,2016-02-14 00:00:00,879
ROUBO,2016-02-14 00:00:00,648
FURTO,2016-02-21 00:00:00,893
ROUBO,2016-02-21 00:00:00,751
FURTO,2016-02-28 00:00:00,966
ROUBO,2016-02-28 00:00:00,698
FURTO,2016-03-06 00:00:00,907
ROUBO,2016-03-06 00:00:00,701
FURTO,2016-03-13 00:00:00,899
ROUBO,2016-03-13 00:00:00,691
FURTO,2016-03-20 00:00:00,885
ROUBO,2016-03-20 00:00:00,737
FURTO,2016-03-27 00:00:00,843
ROUBO,2016-03-27 00:00:00,700
FURTO,2016-04-03 00:00:00,895
ROUBO,2016-04-03 00:00:00,735
FURTO,2016-04-10 00:00:00,895
ROUBO,2016-04-10 00:00:00,744
FURTO,2016-04-17 00:00:00,855
ROUBO,2016-04-17 00:00:00,696
FURTO,2016-04-24 00:00:00,858
ROUBO,2016-04-24 00:00:00,703
FURTO,2016-05-01 00:00:00,930
ROUBO,2016-05-01 00:00:00,666
FURTO,2016-05-08 00:00:00,877
ROUBO,2016-05-08 00:00:00,638
FURTO,2016-05-15 00:00:00,912
ROUBO,2016-05-15 00:00:00,730
FURTO,2016-05-22 00:00:00,786
ROUBO,2016-05-22 00:00:00,594
FURTO,2016-05-29 00:00:00,915
ROUBO,2016-05-29 00:00:00,761
FURTO,2016-06-05 00:00:00,881
ROUBO,2016-06-05 00:00:00,758
FURTO,2016-06-12 00:00:00,865
ROUBO,2016-06-12 00:00:00,795
FURTO,2016-06-19 00:00:00,866
ROUBO,2016-06-19 00:00:00,810
FURTO,2016-06-26 00:00:00,890
ROUBO,2016-06-26 00:00:00,788
FURTO,2016-07-03 00:00:00,944
ROUBO,2016-07-03 00:00:00,710
FURTO,2016-07-10 00:00:00,892
ROUBO,2016-07-10 00:00:00,723
FURTO,2016-07-17 00:00:00,971
ROUBO,2016-07-17 00:00:00,758
FURTO,2016-07-24 00:00:00,877
ROUBO,2016-07-24 00:00:00,770
FURTO,2016-07-31 00:00:00,912
ROUBO,2016-07-31 00:00:00,797
FURTO,2016-08-07 00:00:00,933
ROUBO,2016-08-07 00:00:00,751
FURTO,2016-08-14 00:00:00,838
ROUBO,2016-08-14 00:00:00,769
FURTO,2016-08-21 00:00:00,893
ROUBO,2016-08-21 00:00:00,811
FURTO,2016-08-28 00:00:00,1001
ROUBO,2016-08-28 00:00:00,781
FURTO,2016-09-04 00:00:00,810
ROUBO,2016-09-04 00:00:00,671
FURTO,2016-09-11 00:00:00,904
ROUBO,2016-09-11 00:00:00,862
FURTO,2016-09-18 00:00:00,878
ROUBO,2016-09-18 00:00:00,806
FURTO,2016-09-25 00:00:00,940
ROUBO,2016-09-25 00:00:00,800
FURTO,2016-10-02 00:00:00,953
ROUBO,2016-10-02 00:00:00,743
FURTO,2016-10-09 00:00:00,819
ROUBO,2016-10-09 00:00:00,697
FURTO,2016-10-16 00:00:00,721
ROUBO,2016-10-16 00:00:00,553
FURTO,2016-10-23 00:00:00,754
ROUBO,2016-10-23 00:00:00,619
FURTO,2016-10-30 00:00:00,978
ROUBO,2016-10-30 00:00:00,736
FURTO,2016-11-06 00:00:00,923
ROUBO,2016-11-06 00:00:00,764
FURTO,2016-11-13 00:00:00,795
ROUBO,2016-11-13 00:00:00,703
FURTO,2016-11-20 00:00:00,958
ROUBO,2016-11-20 00:00:00,778
FURTO,2016-11-27 00:00:00,918
ROUBO,2016-11-27 00:00:00,695
FURTO,2016-12-04 00:00:00,913
ROUBO,2016-12-04 00:00:00,606
FURTO,2016-12-11 00:00:00,902
ROUBO,2016-12-11 00:00:00,621
FURTO,2016-12-18 00:00:00,883
ROUBO,2016-12-18 00:00:00,622
FURTO,2016-12-25 00:00:00,667
ROUBO,2016-12-25 00:00:00,518
FURTO,2017-01-01 00:00:00,726
ROUBO,2017-01-01 00:00:00,538
FURTO,2017-01-08 00:00:00,796
ROUBO,2017-01-08 00:00:00,650
FURTO,2017-01-15 00:00:00,853
ROUBO,2017-01-15 00:00:00,675
FURTO,2017-01-22 00:00:00,787
ROUBO,2017-01-22 00:00:00,683
FURTO,2017-01-29 00:00:00,907
ROUBO,2017-01-29 00:00:00,625
FURTO,2017-02-05 00:00:00,894
ROUBO,2017-02-05 00:00:00,677
FURTO,2017-02-12 00:00:00,843
ROUBO,2017-02-12 00:00:00,634
FURTO,2017-02-19 00:00:00,904
ROUBO,2017-02-19 00:00:00,715
FURTO,2017-02-26 00:00:00,796
ROUBO,2017-02-26 00:00:00,624
FURTO,2017-03-05 00:00:00,880
ROUBO,2017-03-05 00:00:00,673
FURTO,2017-03-12 00:00:00,843
ROUBO,2017-03-12 00:00:00,588
FURTO,2017-03-19 00:00:00,877
ROUBO,2017-03-19 00:00:00,659
FURTO,2017-03-26 00:00:00,882
ROUBO,2017-03-26 00:00:00,732
FURTO,2017-04-02 00:00:00,958
ROUBO,2017-04-02 00:00:00,611
FURTO,2017-04-09 00:00:00,785
ROUBO,2017-04-09 00:00:00,590
FURTO,2017-04-16 00:00:00,750
ROUBO,2017-04-16 00:00:00,631
FURTO,2017-04-23 00:00:00,795
ROUBO,2017-04-23 00:00:00,609
FURTO,2017-04-30 00:00:00,853
ROUBO,2017-04-30 00:00:00,546
FURTO,2017-05-07 00:00:00,855
ROUBO,2017-05-07 00:00:00,607
FURTO,2017-05-14 00:00:00,891
ROUBO,2017-05-14 00:00:00,591
FURTO,2017-05-21 00:00:00,863
ROUBO,2017-05-21 00:00:00,625
FURTO,2017-05-28 00:00:00,895
ROUBO,2017-05-28 00:00:00,616
