data_fato,qtde_boletins,tipo,natureza,horaFato,descBairro
2016-01-01,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,21,TATUQUARA
2016-01-02,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,1,XAXIM
2016-01-02,2,DROGAS,DROGAS PARA O CONSUMO PESSOAL,10,SITIO CERCADO
2016-01-02,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,10,CAMPO DE SANTANA
2016-01-02,1,DROGAS,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",13,AHU
2016-01-02,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,16,UMBARA
2016-01-02,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,20,CENTRO
2016-01-03,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,11,CENTRO
2016-01-03,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,14,PORTAO
2016-01-03,1,DROGAS,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",18,MERCES
2016-01-03,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,20,CIC
2016-01-03,1,DROGAS,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",20,SANTA CANDIDA
2016-01-03,1,DROGAS,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",22,UMBARA
2016-01-04,1,DROGAS,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",1,PILARZINHO
2016-01-04,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,12,CIC
2016-01-04,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,14,CAJURU
2016-01-04,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,18,UBERABA
2016-01-04,1,DROGAS,"ADQUIRIR, VENDER, FORNECER E OU PRODUZIR DROGAS",19,AGUA VERDE
2016-01-05,1,DROGAS,DROGAS PARA O CONSUMO PESSOAL,13,VILA IZABEL
