mes,boletins
2016-01-01 00:00:00,84
2016-02-01 00:00:00,63
2016-03-01 00:00:00,111
2016-04-01 00:00:00,93
2016-05-01 00:00:00,109
2016-06-01 00:00:00,85
2016-07-01 00:00:00,98
2016-08-01 00:00:00,86
2016-09-01 00:00:00,84
2016-10-01 00:00:00,88
2016-11-01 00:00:00,78
2016-12-01 00:00:00,87
2017-01-01 00:00:00,105
2017-02-01 00:00:00,78
2017-03-01 00:00:00,109
2017-04-01 00:00:00,100
2017-05-01 00:00:00,98
2017-06-01 00:00:00,80
2017-07-01 00:00:00,123
2017-08-01 00:00:00,133
2017-09-01 00:00:00,134
2017-10-01 00:00:00,142
2017-11-01 00:00:00,130
2017-12-01 00:00:00,113
2018-01-01 00:00:00,120
2018-02-01 00:00:00,123
2018-03-01 00:00:00,136
2018-04-01 00:00:00,138
2018-05-01 00:00:00,143
2018-06-01 00:00:00,122
2018-07-01 00:00:00,156
2018-08-01 00:00:00,136
2018-09-01 00:00:00,128
2018-10-01 00:00:00,110
2018-11-01 00:00:00,139
2018-12-01 00:00:00,107
2019-01-01 00:00:00,95
2019-02-01 00:00:00,111
2019-03-01 00:00:00,142
2019-04-01 00:00:00,150
2019-05-01 00:00:00,156
2019-06-01 00:00:00,126
2019-07-01 00:00:00,131
2019-08-01 00:00:00,149
2019-09-01 00:00:00,144
2019-10-01 00:00:00,118
2019-11-01 00:00:00,144
2019-12-01 00:00:00,96
2020-01-01 00:00:00,133
2020-02-01 00:00:00,125
2020-03-01 00:00:00,134
2020-04-01 00:00:00,144
2020-05-01 00:00:00,152
2020-06-01 00:00:00,140
2020-07-01 00:00:00,194
2020-08-01 00:00:00,176
2020-09-01 00:00:00,188
2020-10-01 00:00:00,187
2020-11-01 00:00:00,185
2020-12-01 00:00:00,155
