mes,boletins
2016-01-01 00:00:00,842
2016-02-01 00:00:00,748
2016-03-01 00:00:00,852
2016-04-01 00:00:00,769
2016-05-01 00:00:00,636
2016-06-01 00:00:00,641
2016-07-01 00:00:00,676
2016-08-01 00:00:00,690
2016-09-01 00:00:00,700
2016-10-01 00:00:00,552
2016-11-01 00:00:00,804
2016-12-01 00:00:00,873
2017-01-01 00:00:00,909
2017-02-01 00:00:00,819
2017-03-01 00:00:00,852
2017-04-01 00:00:00,775
2017-05-01 00:00:00,835
2017-06-01 00:00:00,825
2017-07-01 00:00:00,836
2017-08-01 00:00:00,751
2017-09-01 00:00:00,782
2017-10-01 00:00:00,763
2017-11-01 00:00:00,790
2017-12-01 00:00:00,819
2018-01-01 00:00:00,747
2018-02-01 00:00:00,650
2018-03-01 00:00:00,851
2018-04-01 00:00:00,801
2018-05-01 00:00:00,798
2018-06-01 00:00:00,714
2018-07-01 00:00:00,684
2018-08-01 00:00:00,748
2018-09-01 00:00:00,743
2018-10-01 00:00:00,724
2018-11-01 00:00:00,742
2018-12-01 00:00:00,784
2019-01-01 00:00:00,868
2019-02-01 00:00:00,772
2019-03-01 00:00:00,904
2019-04-01 00:00:00,870
2019-05-01 00:00:00,825
2019-06-01 00:00:00,766
2019-07-01 00:00:00,792
2019-08-01 00:00:00,821
2019-09-01 00:00:00,771
2019-10-01 00:00:00,914
2019-11-01 00:00:00,794
2019-12-01 00:00:00,834
2020-01-01 00:00:00,909
2020-02-01 00:00:00,840
2020-03-01 00:00:00,821
2020-04-01 00:00:00,812
2020-05-01 00:00:00,776
2020-06-01 00:00:00,789
2020-07-01 00:00:00,800
2020-08-01 00:00:00,802
2020-09-01 00:00:00,865
2020-10-01 00:00:00,983
2020-11-01 00:00:00,878
2020-12-01 00:00:00,854
