TEMPO,LAG1,LAG2,PANDEMIA,qtde_boletins,outlier,data,previstas
1,57.0,0.0,0,31,0,2016-01-02,30.546377057177466
2,31.0,57.0,0,29,0,2016-01-03,32.56155206400558
3,29.0,31.0,0,50,0,2016-01-04,24.227956882439898
4,50.0,29.0,0,46,0,2016-01-05,34.92751240317142
5,46.0,50.0,0,29,0,2016-01-06,38.663797510662675
6,29.0,46.0,0,36,0,2016-01-07,28.44499747179395
7,36.0,29.0,0,29,0,2016-01-08,27.44974643293115
8,29.0,36.0,0,30,0,2016-01-09,25.664266668011017
9,30.0,29.0,0,39,0,2016-01-10,24.250459158028132
10,39.0,30.0,0,37,0,2016-01-11,29.359624219336702
11,37.0,39.0,0,38,0,2016-01-12,30.812188631970884
12,38.0,37.0,0,25,0,2016-01-13,30.79640392115941
13,25.0,38.0,0,56,0,2016-01-14,24.118694727770688
14,56.0,25.0,0,47,0,2016-01-15,37.1002702060966
15,47.0,56.0,0,43,0,2016-01-16,40.95376585404493
16,43.0,47.0,0,47,0,2016-01-17,36.30191416650774
17,47.0,43.0,0,37,0,2016-01-18,37.33422137075915
18,37.0,47.0,0,43,0,2016-01-19,33.10262689160473
19,43.0,37.0,0,30,0,2016-01-20,33.52884076000475
20,30.0,43.0,0,42,0,2016-01-21,28.249154365787433
21,42.0,30.0,0,27,0,2016-01-22,31.051156624147506
22,27.0,42.0,0,65,1,2016-01-23,26.377563565781585
23,65.0,27.0,0,57,0,2016-01-24,42.55029900547898
24,57.0,65.0,0,40,0,2016-01-25,48.89679358384444
25,40.0,57.0,0,38,0,2016-01-26,37.55957530563859
26,38.0,40.0,0,36,0,2016-01-27,31.742421162581437
27,36.0,38.0,0,32,0,2016-01-28,30.119335417038513
28,32.0,36.0,0,36,0,2016-01-29,27.42471564834129
29,36.0,32.0,0,51,0,2016-01-30,28.457022852592708
30,51.0,36.0,0,66,0,2016-01-31,37.61960366286702
31,66.0,51.0,0,43,0,2016-02-01,49.85783463131843
32,43.0,66.0,0,43,0,2016-02-02,41.73691915983816
33,43.0,43.0,0,25,0,2016-02-03,35.313671680929616
34,25.0,43.0,0,22,0,2016-02-04,25.67752286982087
35,22.0,25.0,0,55,1,2016-02-05,19.044997155352288
36,55.0,22.0,0,34,0,2016-02-06,35.89415225517532
37,34.0,55.0,0,48,0,2016-02-07,33.87765288386642
38,48.0,34.0,0,41,0,2016-02-08,35.51435268670654
39,41.0,48.0,0,57,0,2016-02-09,35.68610484062638
40,57.0,41.0,0,52,0,2016-02-10,42.308802504300736
41,52.0,57.0,0,38,0,2016-02-11,44.11129780104344
42,38.0,52.0,0,27,0,2016-02-12,35.22019423707188
43,27.0,38.0,0,57,0,2016-02-13,25.41995066932323
44,57.0,27.0,0,34,0,2016-02-14,38.42496825574056
45,34.0,57.0,0,33,0,2016-02-15,34.498121181774515
46,33.0,34.0,0,36,0,2016-02-16,27.539106691288826
47,36.0,33.0,0,41,0,2016-02-17,28.874460563465934
48,41.0,36.0,0,31,0,2016-02-18,32.399766698134464
49,31.0,41.0,0,30,0,2016-02-19,28.447776778814323
50,30.0,31.0,0,47,0,2016-02-20,25.123621566174293
51,47.0,30.0,0,42,0,2016-02-21,33.9597136004315
52,42.0,47.0,0,32,0,2016-02-22,36.04181345700848
53,32.0,42.0,0,47,0,2016-02-23,29.29377793934552
54,47.0,32.0,0,35,0,2016-02-24,34.541894911939885
55,35.0,47.0,0,39,0,2016-02-25,32.314416567808266
